"...1","country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region","AreaName","Value","Count","Denominator","Time period","Age","Sex","Area Type","area_type"
0,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2010,NA,NA,25.122,NA,NA,94,NA,239379,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
1,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2010,NA,NA,25.122,NA,NA,94,NA,239379,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
2,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2010,NA,NA,25.122,NA,NA,94,NA,239379,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
3,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2013,NA,NA,21.49,NA,NA,98,"Urban",241824,53.56291,-1.510418,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
4,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2013,NA,NA,21.49,NA,NA,98,"Urban",241824,53.56291,-1.510418,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
5,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2013,NA,NA,21.49,NA,NA,98,"Urban",241824,53.56291,-1.510418,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
6,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2014,NA,NA,19.176,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
7,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2014,NA,NA,19.176,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
8,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2014,NA,NA,19.176,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
9,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2015,NA,NA,18.615,NA,NA,97,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
10,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2015,NA,NA,18.615,NA,NA,97,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
11,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2015,NA,NA,18.615,NA,NA,97,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
12,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2016,NA,NA,18.979,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
13,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2016,NA,NA,18.979,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
14,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2016,NA,NA,18.979,NA,NA,99,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
15,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2017,NA,NA,16.077,NA,NA,98,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",140.8371,75,53253,"2022/23","0-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
16,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2017,NA,NA,16.077,NA,NA,98,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",162.6486,45,27667,"2022/23","0-9 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
17,"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2017,NA,NA,16.077,NA,NA,98,"Urban",244270,53.5629,-1.5104,1,"Barnsley","Yorkshire and The Humber","Barnsley",117.2516,30,25586,"2022/23","10-18 yrs","Persons","Upper tier local authorities (4/21-3/23)","Urban"
