"pm25_concentration","pm10_concentration","no2_concentration"
14.623,20.481,44.065
14.623,20.481,44.065
14.623,20.481,44.065
14.269,18.54,36.723
14.269,18.54,36.723
14.269,18.54,36.723
7.765,12.763,19.683
7.765,12.763,19.683
7.765,12.763,19.683
14.211,20.331,47.568
14.211,20.331,47.568
14.211,20.331,47.568
9.66,18.484,21.78
9.66,18.484,21.78
9.66,18.484,21.78
13.147,16.865,28.172
13.147,16.865,28.172
13.147,16.865,28.172
10.247,14.91,26.271
10.247,14.91,26.271
10.247,14.91,26.271
11.661,15.418,27.368
11.661,15.418,27.368
11.661,15.418,27.368
9.653,18.197,30.76
9.653,18.197,30.76
9.653,18.197,30.76
12.038,19.264,34.063
12.038,19.264,34.063
12.038,19.264,34.063
10.759,18.444,31.301
10.759,18.444,31.301
10.759,18.444,31.301
12.809,17.701,27.975
12.809,17.701,27.975
12.809,17.701,27.975
7.272,14.292,19.163
7.272,14.292,19.163
7.272,14.292,19.163
11.381,15.313,26.651
11.381,15.313,26.651
11.381,15.313,26.651
10.635,19.394,24.923
10.635,19.394,24.923
10.635,19.394,24.923
9.083,15.292,25.687
9.083,15.292,25.687
9.083,15.292,25.687
16.756,20.969,43.765
16.756,20.969,43.765
16.756,20.969,43.765
8.544,15.47,20.543
8.544,15.47,20.543
8.544,15.47,20.543
13.69,20.353,41.674
13.69,20.353,41.674
13.69,20.353,41.674
11.973,17.36,35.73
11.973,17.36,35.73
11.973,17.36,35.73
10.386,17.903,36.422
10.386,17.903,36.422
10.386,17.903,36.422
9.939,15.781,33.381
9.939,15.781,33.381
9.939,15.781,33.381
11.362,17.491,31.275
11.362,17.491,31.275
11.362,17.491,31.275
12.323,16.098,28.361
12.323,16.098,28.361
12.323,16.098,28.361
14.418,19.931,38.847
14.418,19.931,38.847
14.418,19.931,38.847
7.484,15.054,23.279
7.484,15.054,23.279
7.484,15.054,23.279
12.019,21.606,33.414
12.019,21.606,33.414
12.019,21.606,33.414
11.551,21.545,34.889
11.551,21.545,34.889
11.551,21.545,34.889
10.592,21.264,33.258
10.592,21.264,33.258
10.592,21.264,33.258
10.424,22.521,29.514
10.424,22.521,29.514
10.424,22.521,29.514
11.224,22.466,30.462
11.224,22.466,30.462
11.224,22.466,30.462
12.37,17.347,28.694
12.37,17.347,28.694
12.37,17.347,28.694
11.744,17.462,28.69
11.744,17.462,28.69
11.744,17.462,28.69
9.591,14.468,26.548
9.591,14.468,26.548
9.591,14.468,26.548
8.179,13.94,25.433
8.179,13.94,25.433
8.179,13.94,25.433
8.969,15.148,27.138
8.969,15.148,27.138
8.969,15.148,27.138
7.694,13.897,23.012
7.694,13.897,23.012
7.694,13.897,23.012
8.585,16.126,22.998
8.585,16.126,22.998
8.585,16.126,22.998
8.554,16.005,23.14
8.554,16.005,23.14
8.554,16.005,23.14
11.187,14.021,28.693
11.187,14.021,28.693
11.187,14.021,28.693
8.242,14.537,27.077
8.242,14.537,27.077
8.242,14.537,27.077
15.861,23.002,39.955
15.861,23.002,39.955
15.861,23.002,39.955
12.235,21.269,37.044
12.235,21.269,37.044
12.235,21.269,37.044
8.699,15.257,21.43
8.699,15.257,21.43
8.699,15.257,21.43
9.216,15.656,14.55
9.216,15.656,14.55
9.216,15.656,14.55
11.73,17.435,22.341
11.73,17.435,22.341
11.73,17.435,22.341
11.331,17.923,18.774
11.331,17.923,18.774
11.331,17.923,18.774
10.704,15.375,21.877
10.704,15.375,21.877
10.704,15.375,21.877
9.161,14.205,19.758
9.161,14.205,19.758
9.161,14.205,19.758
9.916,16.28,18.704
9.916,16.28,18.704
9.916,16.28,18.704
11.123,16.934,18.857
11.123,16.934,18.857
11.123,16.934,18.857
12.007,18.331,22.172
12.007,18.331,22.172
12.007,18.331,22.172
9.394,18.241,19.129
9.394,18.241,19.129
9.394,18.241,19.129
14.145,18.474,20.222
14.145,18.474,20.222
14.145,18.474,20.222
10.396,16.146,18.769
10.396,16.146,18.769
10.396,16.146,18.769
11.626,18.151,20.045
11.626,18.151,20.045
11.626,18.151,20.045
11.145,14.615,19.188
11.145,14.615,19.188
11.145,14.615,19.188
12.378,17.647,24.629
12.378,17.647,24.629
12.378,17.647,24.629
8.88,17.272,22.632
8.88,17.272,22.632
8.88,17.272,22.632
13.936,18.136,20.273
13.936,18.136,20.273
13.936,18.136,20.273
8.491,17.259,16.668
8.491,17.259,16.668
8.491,17.259,16.668
9.832,14.03,26.51
9.832,14.03,26.51
9.832,14.03,26.51
7.421,12.467,22.224
7.421,12.467,22.224
7.421,12.467,22.224
8.742,15.853,31.999
8.742,15.853,31.999
8.742,15.853,31.999
9.666,14.43,28.838
9.666,14.43,28.838
9.666,14.43,28.838
9.115,15.099,27.776
9.115,15.099,27.776
9.115,15.099,27.776
9.451,14.309,25.478
9.451,14.309,25.478
9.451,14.309,25.478
9.916,15.519,26.553
9.916,15.519,26.553
9.916,15.519,26.553
14.987,18.519,41.925
14.987,18.519,41.925
14.987,18.519,41.925
8.329,14.204,20.361
8.329,14.204,20.361
8.329,14.204,20.361
15.724,21.702,37.065
15.724,21.702,37.065
15.724,21.702,37.065
8.762,14.433,23.866
8.762,14.433,23.866
8.762,14.433,23.866
12.331,21.383,31.436
12.331,21.383,31.436
12.331,21.383,31.436
9.287,18.164,29.252
9.287,18.164,29.252
9.287,18.164,29.252
9.504,17.636,31.908
9.504,17.636,31.908
9.504,17.636,31.908
11.058,16.095,28.967
11.058,16.095,28.967
11.058,16.095,28.967
12.771,15.993,28.986
12.771,15.993,28.986
12.771,15.993,28.986
12.493,14.917,30.159
12.493,14.917,30.159
12.493,14.917,30.159
12.926,20.584,33.271
12.926,20.584,33.271
12.926,20.584,33.271
13.292,17.754,36.016
13.292,17.754,36.016
13.292,17.754,36.016
8.993,16.147,24.821
8.993,16.147,24.821
8.993,16.147,24.821
14.672,20.931,31.639
14.672,20.931,31.639
14.672,20.931,31.639
9.96,16.451,31.961
9.96,16.451,31.961
9.96,16.451,31.961
10.684,19.233,38.683
10.684,19.233,38.683
10.684,19.233,38.683
11.152,18.137,34.731
11.152,18.137,34.731
11.152,18.137,34.731
11.88,17.212,31.941
11.88,17.212,31.941
11.88,17.212,31.941
9.599,16.852,30.164
9.599,16.852,30.164
9.599,16.852,30.164
15.011,21.016,31.27
15.011,21.016,31.27
15.011,21.016,31.27
6.414,10.887,12.723
6.414,10.887,12.723
6.414,10.887,12.723
9.402,10.732,15.075
9.402,10.732,15.075
9.402,10.732,15.075
11.557,17.642,20.241
11.557,17.642,20.241
11.557,17.642,20.241
14.229,19.24,26.352
14.229,19.24,26.352
