"country_name","city","year","pm10_concentration","pm25_concentration","no2_concentration","pm10_tempcov","pm25_tempcov","no2_tempcov","type_of_stations","population","latitude","longitude","who_ms","clean_city","Region"
"United Kingdom of Great Britain and Northern Ireland","Aberdeen/GBR",2010,13.295,7.074,58.645,NA,80,79,NA,208361,57.15309167,-2.098342667,1,"Aberdeen","NA"
"United Kingdom of Great Britain and Northern Ireland","Armagh/GBR",2010,NA,NA,26.014,NA,NA,87,NA,14749,54.353728,-6.654558,1,"Armagh","NA"
"United Kingdom of Great Britain and Northern Ireland","Barnsley/GBR",2010,NA,NA,25.122,NA,NA,94,NA,239379,53.56292,-1.510436,1,"Barnsley","Yorkshire and The Humber"
"United Kingdom of Great Britain and Northern Ireland","Bath/GBR",2010,NA,NA,60.475,NA,NA,99,NA,106009,51.391127,-2.354155,1,"Bath","South West"
"United Kingdom of Great Britain and Northern Ireland","Belfast/GBR",2010,NA,13.509,34.752,NA,97,92,NA,630632,54.59965,-5.928833,1,"Belfast","NA"
"United Kingdom of Great Britain and Northern Ireland","Biandrate/GBR",2010,21.459,17.229,37.693,NA,77,96,NA,10833,52.132417,-0.300306,1,"Biandrate","NA"
"United Kingdom of Great Britain and Northern Ireland","Billingham/GBR",2010,NA,NA,27.63,NA,NA,96,NA,34018,54.60537,-1.275039,1,"Billingham","North East"
"United Kingdom of Great Britain and Northern Ireland","Birmingham/GBR",2010,20.481,14.623,44.065,NA,99,99,NA,997130,52.51172125,-1.8305795,1,"Birmingham","West Midlands"
"United Kingdom of Great Britain and Northern Ireland","Bournemouth/GBR",2010,NA,NA,17.784,NA,NA,99,NA,505687,50.73957,-1.826744,1,"Bournemouth","South West"
"United Kingdom of Great Britain and Northern Ireland","Brighton/GBR",2010,NA,NA,21.715,NA,NA,89,NA,249782,50.840836,-0.147572,1,"Brighton","South East"
"United Kingdom of Great Britain and Northern Ireland","Bristol/GBR",2010,20.331,14.211,47.568,NA,96,85,NA,686210,51.46113675,-2.58424125,1,"Bristol","South West"
"United Kingdom of Great Britain and Northern Ireland","Cambridge/GBR",2010,NA,NA,25.734,NA,NA,96,NA,183672,52.250435,0.2076865,1,"Cambridge","East of England"
"United Kingdom of Great Britain and Northern Ireland","Canterbury/GBR",2010,NA,NA,18.225,NA,NA,99,NA,80561,51.27399,1.098061,1,"Canterbury","South East"
"United Kingdom of Great Britain and Northern Ireland","Cardiff/GBR",2010,NA,13.8,32.854,NA,85,95,NA,477627,51.48178,-3.17625,1,"Cardiff","Wales"
"United Kingdom of Great Britain and Northern Ireland","Carlisle/GBR",2010,22.467,15.536,32.792,NA,95,96,NA,104113,54.894834,-2.945307,1,"Carlisle","North West"
